specimen_id,order,family,genus,species ,synonym,life_stage,lens,volume_mm3,area_mm2,breadth_mm,length_mm,width_mm,thickness_mm,flatness,anisotropy,elongation,sphericity ,eye_diameter_mm,axial_length_mm,lens_to_retina_mm,lens_diameter_mm,lens_depth_mm,sv_length_mm,stain,scan_type,adult_ecology,adult_ecology_2,ae_certainty,ae_source,activity_period,ap_source,ap_certainty ,comments,scan_source,scan_technician
M12901-21955,anura,batrachylidae,atelognathus,patagonicus,telmatobius_patagonicus,adult,left,0.782173,4.29903,1.21192,1.26155,1.1407,1.10567,0.91353,0.185718,0.891357,0.954953,3.3,2.7,2.3,1.14,1.06,,unstained,micro_ct,aquatic,aquatic,uncertain ,Fox (2005),nocturnal,Cuello et al (2017),somewhat certain,,MorphoSource,
M12901-21955,anura,batrachylidae,atelognathus,patagonicus,telmatobius_patagonicus,adult,right,0.751888,4.15398,1.14629,1.28592,1.11821,1.14217,0.943243,0.231196,0.815065,0.962621,3.4,2.6,2.2,1.19,1.1,,unstained,micro_ct,aquatic,aquatic,uncertain ,Fox (2005),nocturnal,Cuello et al (2017),somewhat certain,,MorphoSource,
USNM569381,anura,bufonidae,atelopus,pulcher,atelopus_pulcher,adult,right,1.94778,7.58348,1.63573,1.68086,1.52554,,0.841447,0.185968,0.967419,0.994586,,,,,,,iodine,dice_ct,ground-dwelling,terrestrial ,somewhat certain,IUCN (2020),diurnal,Alberto et al (2015),certain,,NMNH,Dr_Molly_Womack
USNM569381,anura,bufonidae,atelopus,pulcher,atelopus_pulcher,adult,left,1.99874,7.71092,1.65934,1.71047,1.51022,,0.811242,0.226337,0.953676,0.995135,,,,,,,iodine,dice_ct,ground-dwelling,terrestrial ,somewhat certain,IUCN (2020),diurnal,Alberto et al (2015),certain,,NMNH,Dr_Molly_Womack
USNM346008,anura,bufonidae,atelopus,tricolor,atelopus_tricolor,adult,left,0.572259,3.49062,1.09179,1.12984,0.978315,0.960645,0.768195,0.277392,0.940656,0.954942,2.5,2,1.7,1.05,0.95,19.87,unstained,micro_ct,ground-dwelling,terrestrial ,somewhat certain,AmphibiaWeb (2020),diurnal,AmphiBIO (2017),uncertain,,NMNH,Dr_Molly_Womack
USNM346008,anura,bufonidae,atelopus,tricolor,atelopus_tricolor,adult,right,0.597331,3.61183,1.13391,1.14368,0.990266,0.977135,0.766609,0.251429,0.976471,0.949658,2.6,2,1.7,0.98,0.93,19.87,unstained,micro_ct,ground-dwelling,terrestrial ,somewhat certain,AmphibiaWeb (2020),diurnal,AmphiBIO (2017),uncertain,,NMNH,Dr_Molly_Womack
USNM292543,anura,bufonidae,atelopus,varius,atelopus_varius,adult,right,2.32284,8.53699,1.75283,1.77052,1.58287,,0.802056,0.237584,0.950578,0.993556,,,,,,,iodine,dice_ct,ground-dwelling,terrestrial ,certain,AmphibiaWeb (2020),diurnal,IUCN (2020),certain,,NMNH,Dr_Molly_Womack
USNM292543,anura,bufonidae,atelopus,varius,atelopus_varius,adult,left,2.34292,8.64362,1.72155,1.81691,1.59284,,0.818106,0.220273,0.953089,0.986946,,,,,,,iodine,dice_ct,ground-dwelling,terrestrial ,certain,AmphibiaWeb (2020),diurnal,IUCN (2020),certain,,NMNH,Dr_Molly_Womack
BMNH1983.1352,anura,pyxicephalidae,aubria,subsigillata,aubria_subisgillata,adult,right,50.6562,68.5516,4.90891,4.92495,4.2898,4.26558,0.747156,0.267569,0.980292,0.965802,8.4,7.8,5.8,4.78,4.12,84.88,iodine,dice_ct,semi-aquatic,semi-aquatic,somewhat certain,IUCN (2020),nocturnal,Halliday (2016),certain,,BMNH,Dr_David_Gower
BMNH1983.1352,anura,pyxicephalidae,aubria,subsigillata,aubria_subisgillata,adult,left,50.5382,68.6862,4.86066,4.94821,4.2467,4.21489,0.741098,0.279454,0.972268,0.962411,8.2,NA,5.2,4.48,3.77,84.88,iodine,dice_ct,semi-aquatic,semi-aquatic,somewhat certain,IUCN (2020),nocturnal,Halliday (2016),certain,cornea broken,BMNH,Dr_David_Gower
KU-KUH-309278,anura,bombinatoridae,barbourula,busuangensis,barbourula_busuangensis,adult,right,61.309,78.1659,5.22363,5.39021,4.60233,4.58446,0.757884,0.265156,0.969599,0.961943,8.1,8,6.2,4.46,3.93,,unstained,micro_ct,aquatic,aquatic,certain,Alcala and Brown (1987); Inger (1954) - p. 212,nocturnal,Alcala and Brown (1987),certain,,MorphoSource,MorphoSource
